Onset,stim
12324.852,rf
12337.007,cue
12339.979,lh
12351.979,fix
12367.128,cue
12370.1,t
12382.255,cue
12385.227,lf
12397.382,cue
12400.355,rh
12412.355,fix
12427.504,cue
12430.476,lh
12442.631,cue
12445.603,rf
12457.603,fix
12472.941,fix
12480.991,cue
12483.95,lh
12496.105,cue
12499.077,rf
12511.077,fix
12526.239,cue
12529.198,t
12541.353,cue
12544.325,lf
12556.48,cue
12559.453,rh
12571.453,fix
12586.602,cue
12589.574,lh
12601.729,cue
12604.701,t
12616.856,cue
12619.828,rf
12631.983,cue
12634.955,rh
12647.11,cue
12650.082,lf
12662.082,fix
12677.421,fix
12685.471,cue
12688.43,rh
12700.585,cue
12703.557,lf
12715.712,cue
12718.685,t
12730.84,cue
12733.812,rf
12745.967,cue
12748.939,lh
12760.939,fix
12776.088,cue
12779.06,t
12791.215,cue
12794.187,lf
12806.342,cue
12809.315,rh
12821.315,fix
12836.464,cue
12839.436,lh
12851.591,cue
12854.563,rf
12866.563,fix
12881.901,fix
12889.951,cue
12892.91,lh
12905.065,cue
12908.037,rf
12920.037,fix
12935.199,cue
12938.158,t
12950.313,cue
12953.285,lf
12965.44,cue
12968.413,rh
12980.413,fix
12995.562,cue
12998.534,lh
13010.689,cue
13013.661,t
13025.816,cue
13028.788,rf
13040.943,cue
13043.915,rh
13056.07,cue
13059.042,lf
13071.042,fix
13086.381,fix
13094.431,cue
13097.39,rh
13109.545,cue
13112.517,lf
13124.672,cue
13127.645,t
13139.8,cue
13142.772,rf
13154.927,cue
13157.899,lh
13169.899,fix
13185.048,cue
13188.02,t
13200.175,cue
13203.147,lf
13215.302,cue
13218.275,rh
13230.275,fix
13245.424,cue
13248.396,lh
13260.551,cue
13263.523,rf
13275.523,fix
13290.861,fix
13298.911,cue
13301.87,lh
13314.025,cue
13316.997,rf
13328.997,fix
13344.159,cue
13347.118,t
13359.273,cue
13362.245,lf
13374.4,cue
13377.373,rh
13389.373,fix
13404.522,cue
13407.494,lh
13419.649,cue
13422.621,t
13434.776,cue
13437.748,rf
13449.903,cue
13452.875,rh
13465.03,cue
13468.002,lf
13480.002,fix
13495.341,fix
13503.391,cue
13506.35,rh
13518.505,cue
13521.477,lf
13533.632,cue
13536.605,t
13548.76,cue
13551.732,rf
13563.887,cue
13566.859,lh
13578.859,fix
13594.008,cue
13596.98,t
13609.135,cue
13612.107,lf
13624.262,cue
13627.235,rh
13639.235,fix
13654.384,cue
13657.356,lh
13669.511,cue
13672.483,rf
13684.483,fix
13699.821,fix
13707.871,cue
13710.83,lh
13722.985,cue
13725.957,rf
13737.957,fix
13753.119,cue
13756.078,t
13768.233,cue
13771.205,lf
13783.36,cue
13786.333,rh
13798.333,fix
13813.482,cue
13816.454,lh
13828.609,cue
13831.581,t
13843.736,cue
13846.708,rf
13858.863,cue
13861.835,rh
13873.99,cue
13876.962,lf
13888.962,fix
13904.301,fix
13912.351,cue
13915.31,rh
13927.465,cue
13930.437,lf
13942.592,cue
13945.565,t
13957.72,cue
13960.692,rf
13972.847,cue
13975.819,lh
13987.819,fix
14002.968,cue
14005.94,t
14018.095,cue
14021.067,lf
14033.222,cue
14036.195,rh
14048.195,fix
14063.344,cue
14066.316,lh
14078.471,cue
14081.443,rf
14093.443,fix
14108.781,fix
14116.831,cue
14119.79,lh
14131.945,cue
14134.917,rf
14146.917,fix
14162.079,cue
14165.038,t
14177.193,cue
14180.165,lf
14192.32,cue
14195.293,rh
14207.293,fix
14222.442,cue
14225.414,lh
14237.569,cue
14240.541,t
14252.696,cue
14255.668,rf
14267.823,cue
14270.795,rh
14282.95,cue
14285.922,lf
14297.922,fix
14313.261,fix
14321.311,cue
14324.27,rh
14336.425,cue
14339.397,lf
14351.552,cue
14354.525,t
14366.68,cue
14369.652,rf
14381.807,cue
14384.779,lh
14396.779,fix
14411.928,cue
14414.9,t
14427.055,cue
14430.027,lf
14442.182,cue
14445.155,rh
14457.155,fix
14472.304,cue
14475.276,lh
14487.431,cue
14490.403,rf
14502.403,fix
14517.741,fix
14525.791,cue
14528.75,lh
14540.905,cue
14543.877,rf
14555.877,fix
14571.039,cue
14573.998,t
14586.153,cue
14589.125,lf
14601.28,cue
14604.253,rh
14616.253,fix
14631.402,cue
14634.374,lh
14646.529,cue
14649.501,t
14661.656,cue
14664.628,rf
14676.783,cue
14679.755,rh
14691.91,cue
14694.882,lf
14706.882,fix
14722.221,fix
14730.271,cue
14733.23,rh
14745.385,cue
14748.357,lf
14760.512,cue
14763.485,t
14775.64,cue
14778.612,rf
14790.767,cue
14793.739,lh
14805.739,fix
14820.888,cue
14823.86,t
14836.015,cue
14838.987,lf
14851.142,cue
14854.115,rh
14866.115,fix
14881.264,cue
14884.236,lh
14896.391,cue
14899.363,rf
14911.363,fix
14926.701,fix
14934.751,cue
14937.71,lh
14949.865,cue
14952.837,rf
14964.837,fix
14979.999,cue
14982.958,t
14995.113,cue
14998.085,lf
15010.24,cue
15013.213,rh
15025.213,fix
15040.362,cue
15043.334,lh
15055.489,cue
15058.461,t
15070.616,cue
15073.588,rf
15085.743,cue
15088.715,rh
15100.87,cue
15103.842,lf
15115.842,fix
15131.181,fix
15139.231,cue
